"","final_year","True_y","SC_y","M_y","MASC_y"
"1",2019,2.50696660704647,2.803246811571,2.55372884214635,2.80067563474754
"2",2018,2.53165454559538,2.8380849171575,2.58122817815178,2.83543811742679
"3",2017,2.5473537476016,2.85962354329927,2.59498358547257,2.85689654080043
"4",2016,2.56390099771631,2.87388742677584,2.60566909394947,2.87112355064066
"5",2015,2.59301074757014,2.87980851528809,2.62006100824826,2.87713192741912
"6",2014,2.64991886024995,2.91391653519091,2.65106491873984,2.91120796079129
"7",2013,3.02643072406646,3.2628896487281,2.84953391940825,3.2586301932928
"8",2012,3.11083571371493,3.36131545735572,2.92144183405698,3.35678274627249
"9",2011,3.12475599537684,3.38811143008184,2.93745136881845,3.38346756933124
"10",2010,3.32263780497512,3.48302820817469,3.02094098059668,3.4782665953229
"11",2009,3.51662330992441,3.64543875574636,3.09439440156908,3.63976047744269
"12",2008,3.48202103140654,3.60572081896692,3.07219722272975,3.60022308464111
"13",2007,3.58784255504675,3.76059152441617,3.14746132323596,3.75427347779743
"14",2006,4.02589575583803,3.80174436599297,3.12624901928186,3.79478367300632
"15",2005,3.64624318375651,3.6995455405922,3.0192236485079,3.69253511210301
"16",2004,3.67309429378748,3.6801335701225,3.0174179134175,3.67330456641991
"17",2003,3.65476959201644,3.63988205201211,2.98677320294677,3.63315204238681
"18",2002,3.45066219166849,3.51508052877253,2.88384574555751,3.50857592211632
"19",2001,3.40967846670522,3.3871588602904,2.83191704546748,3.38143732893544
"20",2000,3.31633855448577,3.27489440896932,2.70953792516178,3.26906865024136
