"","w.weights","unit.names","unit.numbers"
"1",0,"Beijing",1
"2",0,"Tianjin",2
"3",0,"Hebei",3
"4",0,"Shanxi",4
"5",0,"Inner Mongolia",5
"6",0,"Liaoning",6
"7",0,"Jilin",7
"8",0,"Heilongjlang",8
"9",0.004,"Shanghai",9
"10",0,"Jiangsu",10
"11",0,"Zhejian",11
"12",0,"Anhui",12
"13",0,"Fujian",13
"14",0,"Jiangxi",14
"15",0,"Shandong",15
"16",0,"Henan",16
"17",0.273,"Hubei",17
"18",0.193,"Hunan",18
"19",0,"Guangdong",19
"20",0,"Guangxi",20
"21",0,"Hainan",21
"24",0.377,"Guizhou",24
"25",0.152,"Yunnan",25
"26",0,"Tibet",26
"27",0,"Shaanxi",27
"28",0,"Gansu",28
"29",0,"Qinghai",29
"30",0,"Ningxia",30
"31",0,"Xinjiang",31
