event_time,estimate,se,ci_lo,ci_hi,sig
-4,0.0294,0.0246,-0.0189,0.0777,
-3,-0.0267,0.0265,-0.0787,0.0253,
-2,0.0153,0.0125,-0.0092,0.0398,
-1,-0.0482,0.0175,-0.0825,-0.0139,*
0,-0.0532,0.017,-0.0866,-0.0199,*
1,-0.0987,0.0303,-0.158,-0.0394,*
2,-0.1232,0.0307,-0.1834,-0.0629,*
3,-0.1461,0.0332,-0.2111,-0.0811,*
4,-0.1994,0.0348,-0.2676,-0.1312,*
5,-0.2113,0.0376,-0.2849,-0.1377,*
6,-0.2284,0.0355,-0.298,-0.1588,*
7,-0.2586,0.0408,-0.3386,-0.1786,*
8,-0.2759,0.0432,-0.3606,-0.1912,*
9,-0.2889,0.0494,-0.3857,-0.1921,*
10,-0.4184,0.0509,-0.5182,-0.3187,*
