rel_time,coef,se,ci_lo,ci_hi
-4,0.11352971042630525,0.03932499270047884,0.03645272473336672,0.19060669611924377
-3,0.04845968351415436,0.0435834267827369,-0.03696383298000995,0.13388320000831866
-2,0.014116715512137756,0.02057757946043272,-0.02621534023031037,0.05444877125458589
-1,0.0,0.0,0.0,0.0
0,-0.03368980777234203,0.01372836031506388,-0.060597393989867236,-0.006782221554816829
1,-0.07468366984129904,0.019036817062593154,-0.11199583128398162,-0.03737150839861646
2,-0.12675958895904244,0.025457960924649404,-0.17665719237135527,-0.0768619855467296
3,-0.14329900540322177,0.027854508216130447,-0.19789384150683745,-0.08870416929960609
4,-0.18467696586402135,0.029883989661529373,-0.24324958560061893,-0.12610434612742377
5,-0.19280224681772545,0.029954275983509516,-0.2515126277454041,-0.1340918658900468
6,-0.20760544677512724,0.031520909565362715,-0.26938642952323816,-0.14582446402701632
7,-0.22304497290270936,0.034134145028455874,-0.2899478971584829,-0.15614204864693584
8,-0.23751843231722353,0.036096877460109755,-0.30826831213903866,-0.1667685524954084
9,-0.24962100838034101,0.03850838921481633,-0.325097451241381,-0.17414456551930102
10,-0.2766593060793751,0.041109455426642086,-0.3572338387155936,-0.1960847734431566
