rel_time,coef,se,ci_lower,ci_upper
-4,0.009617445492064367,0.030320231009012974,-0.049810207285601066,0.0690450982697298
-3,0.029578608601373554,0.040268893062895245,-0.04934842180190112,0.10850563900464823
-2,0.004247460559967756,0.02594891954570955,-0.04661242174962296,0.05510734286955847
-1,0.0,0.0,0.0,0.0
0,-0.04729021539194801,0.01815353551192509,-0.0828711449953212,-0.011709285788574837
1,-0.08474612835031785,0.024313742484800484,-0.13240106362052678,-0.0370911930801089
2,-0.13688605946691357,0.03151295368635042,-0.1986514486921604,-0.07512067024166674
3,-0.15277281388114092,0.03477047646375426,-0.22092294775009927,-0.08462268001218257
4,-0.19155728259453553,0.03774047299461141,-0.2655286096639739,-0.11758595552509717
5,-0.1964560465092365,0.037194337588028564,-0.26935694818177247,-0.12355514483670052
6,-0.21119865785579167,0.03815800400887745,-0.2859883457131915,-0.13640896999839186
7,-0.22762748216599962,0.04033229461998139,-0.30667877962116313,-0.1485761847108361
8,-0.242764847440135,0.04185485770730956,-0.3248003685464617,-0.16072932633380826
9,-0.25561862554030335,0.04354487882331791,-0.3409665880340065,-0.17027066304660024
10,-0.28403094517526467,0.04378501022692707,-0.36984956522004175,-0.19821232513048762
