event_time,estimate,se
-4,0.012995680118811269,0.03207555376768131
-3,0.039039280835815635,0.04071579254781043
-2,0.0059204130066251815,0.027583423410017682
-1,0.0,0.0
0,-0.040986219313984114,0.015387350872066103
1,-0.07926711825123041,0.02080226147927048
2,-0.11485489819438896,0.030833868299795796
3,-0.12284196665515802,0.034280535785603965
4,-0.16624553715285623,0.03227811692526626
5,-0.19072577075472852,0.03453845915229925
6,-0.20696343904815664,0.03704063551318014
7,-0.22803309602371433,0.040363768326961584
8,-0.25003917951447446,0.044769007921964456
9,-0.2716632059526533,0.04734618050405427
10,-0.3418778422680199,0.045756736132706456
