event_time,estimate,se,n_cohorts
-4,0.030195646349970927,0.011491996216624124,2
-3,0.035887079440095886,0.014471405355874664,3
-2,0.04584586691338304,0.019292968998612117,4
-1,0.0,0.0,5
0,-0.07591217976519968,0.01763024001788061,5
1,-0.1179711229548262,0.018568311378955,5
2,-0.13206277468017572,0.01815345692021899,5
3,-0.14535361992809104,0.025584183015320606,5
4,-0.19361252384512026,0.027508122156317982,4
5,-0.19988546407371383,0.030507935964918347,4
6,-0.20445557288376748,0.0329895039377439,4
7,-0.21873359162568393,0.03745066291102525,3
8,-0.23184774239284747,0.04137538051999109,3
9,-0.23254558573377854,0.04810354159046633,2
10,-0.36686328369073284,0.038470324525970226,1
